country,isonum,isocode,rank_soci2007,rank_soci2008,rank_soci2009,rank_soci2010,rank_soci2011,rank_soci2012,rank_soci2013,rank_soci2014,rank_soci2015,rank_soci2016,soci2007,soci2008,soci2009,soci2010,soci2011,soci2012,soci2013,soci2014,soci2015,soci2016
Afghanistan,4,AFG,144,145,133,138,145,126,146,147,145,145,37.69165802001953,37.69165802001953,41.0552978515625,40.482887268066406,38.71015930175781,41.8919792175293,37.8919792175293,35.07379150390625,39.71015930175781,39.71015930175781
Angola,24,AGO,107,89,92,95,90,144,125,137,142,142,44.95454406738281,46.542911529541016,46.542911529541016,46.542911529541016,46.542911529541016,39.186363220214844,43.77727127075195,41.095455169677734,41.095455169677734,41.095455169677734
Albania,8,ALB,124,125,125,142,124,122,114,111,106,106,41.7406120300293,41.7406120300293,41.82870864868164,39.46506881713867,41.96506881713867,42.646888732910156,44.71112060546875,45.438392639160156,46.529296875,46.529296875
United Arab Emirates,784,ARE,51,48,52,43,45,51,34,28,25,25,52.18182373046875,52.18182373046875,52.18182373046875,53.181819915771484,52.909095764160156,52.27273178100586,55.272727966308594,57.454551696777344,57.954551696777344,57.954551696777344
Argentina,32,ARG,78,79,67,68,73,72,62,75,57,57,48.40077209472656,48.53713607788086,50.23413848876953,50.415958404541016,49.38413619995117,49.747772216796875,51.20241165161133,48.79331970214844,51.96870422363281,51.96870422363281
Armenia,51,ARM,109,126,142,145,144,136,140,134,141,141,44.636024475097656,41.636024475097656,39.317848205566406,38.27238845825195,39.18147659301758,40.96147537231445,41.188751220703125,41.55238723754883,41.50693130493164,41.50693130493164
Australia,36,AUS,1,3,1,1,1,4,5,5,2,2,67.8072738647461,67.21636962890625,67.21636962890625,68.23727416992188,68.82818603515625,65.69181823730469,65.555908203125,65.96500396728516,67.60136413574219,67.60136413574219
Austria,40,AUT,2,2,10,8,9,5,11,15,15,15,67.20408630371094,67.2186279296875,62.30954360961914,64.44590759277344,63.94590759277344,65.49136352539062,63.904998779296875,61.85954666137695,61.768638610839844,61.768638610839844
Azerbaijan,31,AZE,139,112,116,140,133,123,138,130,133,133,39.45774841308594,42.91230010986328,42.77593231201172,39.56654357910156,40.61199951171875,42.61199951171875,41.839271545410156,42.33927536010742,42.93018341064453,42.93018341064453
Burundi,108,BDI,147,148,148,148,146,146,145,146,149,149,34.53563690185547,34.53563690185547,36.03563690185547,35.65200424194336,38.152000427246094,38.152000427246094,38.152000427246094,36.061092376708984,35.000274658203125,35.000274658203125
Belgium,56,BEL,18,19,20,21,23,32,27,24,24,24,59.49873352050781,58.1805534362793,58.1805534362793,58.013553619384766,57.46809768676758,55.8771858215332,57.104461669921875,59.06513977050781,58.4742317199707,58.4742317199707
Benin,204,BEN,145,146,146,147,147,143,133,142,147,147,36.403934478759766,36.403934478759766,36.403934478759766,36.403934478759766,36.22211456298828,39.81302261352539,42.813026428222656,39.58574676513672,36,36
Burkina Faso,854,BFA,127,121,122,108,121,113,101,95,79,79,41.55522918701172,42.00977325439453,42.00977325439453,44.55522537231445,42.373409271240234,43.72636413574219,46.089996337890625,46.499088287353516,48.89854431152344,48.89854431152344
Bangladesh,50,BGD,112,129,136,92,97,102,103,126,122,122,43.49972915649414,41.0932731628418,40.86113739013672,46.63386535644531,45.45204544067383,44.77022933959961,45.71281814575195,42.92061996459961,44.19334411621094,44.19334411621094
Bulgaria,100,BGR,116,113,115,119,111,103,128,109,111,111,42.635093688964844,42.635093688964844,42.84581756591797,43.39126968383789,43.52763748168945,44.573097229003906,43.402984619140625,45.840797424316406,46.15897750854492,46.15897750854492
Bahrain,48,BHR,42,37,40,66,78,77,46,57,56,56,53.04727554321289,53.04727554321289,53.04727554321289,50.53409194946289,49.0772705078125,49.409088134765625,53.590911865234375,51.8636360168457,52.318180084228516,52.318180084228516
Belarus,112,BLR,135,134,114,100,108,117,111,129,121,121,40.6600456237793,40.7504997253418,42.886863708496094,45.84141159057617,43.705047607421875,43.233184814453125,44.915000915527344,42.415000915527344,44.415000915527344,44.415000915527344
Belize,84,BLZ,69,66,71,71,69,71,72,83,91,91,50.025821685791016,49.93008804321289,49.93008804321289,49.93008804321289,49.93008804321289,49.766456604003906,49.766456604003906,47.99372482299805,47.99372482299805,47.99372482299805
Bolivia,68,BOL,74,84,82,97,77,57,69,63,72,72,49.45723342895508,47.502685546875,47.83489227294922,46.198524475097656,49.10761642456055,51.198524475097656,50.01670837402344,51.28784942626953,49.69693374633789,49.69693374633789
Brazil,76,BRA,41,51,53,53,50,67,67,85,52,52,53.179229736328125,51.72468566894531,52.088321685791016,51.98600387573242,52.62236785888672,50.39509582519531,50.076908111572266,47.888179779052734,52.93363952636719,52.93363952636719
Botswana,72,BWA,52,49,51,51,59,65,55,38,41,41,52.1627311706543,52.1627311706543,52.18359375,52.27450180053711,50.91086196899414,50.456321716308594,51.910865783691406,55.83068084716797,54.876136779785156,54.876136779785156
Central African Republic,140,CAF,75,74,74,112,134,140,141,138,143,143,49.44056701660156,49.44056701660156,49.44056701660156,44.21329879760742,40.569183349609375,40.569183349609375,40.70817947387695,40.70817947387695,40.70817947387695,40.70817947387695
Canada,124,CAN,4,6,5,6,4,3,3,2,3,3,65.7699966430664,65.52363586425781,64.75090789794922,64.97817993164062,65.95954895019531,66.41409301757812,67.05046081542969,66.7777328491211,66.2322769165039,66.2322769165039
